epochs,accuracy,nmi,ari,testAcc,nmi_test,ari_test
185,0.9082,0.57023,0.66621,0.90569,0.56638,0.65814
186,0.9064,0.56798,0.66033,0.9029,0.5616,0.64908
187,0.9064,0.56878,0.66033,0.9029,0.56188,0.64908
188,0.90647,0.56716,0.66055,0.90383,0.56388,0.65209
189,0.90388,0.56228,0.65212,0.90057,0.55733,0.64158
190,0.90334,0.56056,0.65039,0.8998,0.55403,0.6391
191,0.90966,0.57655,0.67099,0.90631,0.56997,0.66015
192,0.90926,0.57507,0.66969,0.90662,0.57057,0.66116
193,0.90866,0.57292,0.66773,0.90569,0.56823,0.65813
194,0.91019,0.57842,0.67274,0.90802,0.57506,0.66571
195,0.90986,0.57448,0.67166,0.90616,0.56719,0.65965
196,0.90673,0.57007,0.66141,0.90306,0.5626,0.64958
197,0.90919,0.57435,0.66947,0.90647,0.56987,0.66065
198,0.90713,0.56895,0.66272,0.90492,0.56689,0.65561
199,0.91232,0.58174,0.67977,0.91128,0.58214,0.67641
200,0.90547,0.56615,0.6573,0.90228,0.56077,0.64708
201,0.90587,0.56834,0.65859,0.90275,0.56263,0.64857
202,0.90135,0.55616,0.64395,0.89825,0.55204,0.63413
203,0.91219,0.58033,0.67934,0.91205,0.58441,0.67897
204,0.90414,0.5623,0.65298,0.9015,0.55807,0.64458
205,0.90647,0.56944,0.66054,0.90352,0.56417,0.65108
206,0.91179,0.58183,0.678,0.91004,0.58004,0.67232
207,0.90786,0.57009,0.66512,0.90476,0.56403,0.65511
208,0.91066,0.57821,0.67428,0.90771,0.57312,0.6647
209,0.90953,0.5747,0.67057,0.90662,0.56978,0.66116
210,0.90687,0.56852,0.66185,0.90445,0.56616,0.6541
211,0.90766,0.57203,0.66445,0.9043,0.56631,0.65359
212,0.907,0.56923,0.66229,0.90445,0.56616,0.6541
213,0.90693,0.57064,0.66206,0.90306,0.56231,0.64958
214,0.90634,0.56734,0.66012,0.90306,0.56202,0.64958
215,0.90647,0.56817,0.66055,0.90306,0.56202,0.64958
216,0.90992,0.5769,0.67187,0.90678,0.57101,0.66166
217,0.91238,0.58223,0.67999,0.91112,0.58218,0.6759
218,0.908,0.57058,0.66555,0.90538,0.56763,0.65712
219,0.91312,0.58518,0.6824,0.91205,0.58564,0.67896
220,0.90627,0.56552,0.65991,0.90383,0.56332,0.65209
221,0.90587,0.56613,0.6586,0.90306,0.56231,0.64958
222,0.90687,0.56787,0.66186,0.90414,0.56446,0.65309
223,0.90999,0.57546,0.6721,0.90647,0.56807,0.66066
224,0.908,0.57275,0.66554,0.90476,0.56702,0.6551
225,0.91238,0.58381,0.67998,0.90926,0.57755,0.66978
226,0.91212,0.58182,0.67911,0.90895,0.57565,0.66877
227,0.90773,0.57233,0.66467,0.90461,0.56717,0.6546
228,0.9082,0.57378,0.66619,0.90554,0.56946,0.65762
229,0.90959,0.57604,0.67078,0.90802,0.57453,0.66571
230,0.90893,0.57215,0.66861,0.90569,0.56613,0.65814
231,0.90906,0.57547,0.66903,0.90771,0.57555,0.66469
232,0.90421,0.5643,0.65319,0.90244,0.56178,0.64757
233,0.90594,0.5689,0.6588,0.90337,0.56433,0.65058
234,0.90627,0.56864,0.65989,0.90337,0.56374,0.65058
235,0.90693,0.56949,0.66207,0.90383,0.56444,0.65209
236,0.91032,0.57849,0.67318,0.90662,0.57084,0.66116
237,0.91086,0.58004,0.67493,0.90864,0.57656,0.66774
238,0.9056,0.56784,0.65772,0.90321,0.56361,0.65008
239,0.90653,0.56998,0.66076,0.90476,0.56818,0.6551
240,0.9082,0.57344,0.66619,0.90631,0.57051,0.66015
241,0.91072,0.5779,0.6745,0.91066,0.58132,0.67436
242,0.9054,0.5668,0.65708,0.90228,0.56077,0.64708
243,0.90667,0.57012,0.66119,0.90337,0.56374,0.65058
244,0.90627,0.56947,0.65989,0.90352,0.56446,0.65108
245,0.90554,0.56765,0.65751,0.90321,0.56361,0.65008
246,0.90587,0.56859,0.65859,0.90321,0.5639,0.65008
247,0.9066,0.56935,0.66098,0.90306,0.56231,0.64958
248,0.9066,0.57029,0.66097,0.90321,0.56331,0.65008
249,0.908,0.57143,0.66555,0.90507,0.56704,0.65611
250,0.91179,0.58153,0.67801,0.90988,0.57908,0.67182
251,0.90627,0.56887,0.65989,0.9043,0.5666,0.65359
252,0.91119,0.58038,0.67603,0.91097,0.58298,0.67538
253,0.90939,0.57546,0.67012,0.90755,0.57321,0.66419
254,0.91072,0.57891,0.6745,0.91019,0.58049,0.67283
255,0.90846,0.57465,0.66706,0.90585,0.57005,0.65863
256,0.91139,0.58301,0.67667,0.90911,0.57842,0.66927
257,0.90594,0.56677,0.65881,0.90507,0.56817,0.65611
258,0.90673,0.57031,0.66141,0.90445,0.56674,0.65409
259,0.90833,0.57304,0.66663,0.90662,0.57084,0.66116
260,0.91145,0.58298,0.6769,0.90926,0.5786,0.66978
261,0.91225,0.58251,0.67955,0.90988,0.57858,0.67182
262,0.90979,0.57507,0.67144,0.90678,0.56971,0.66167
263,0.91092,0.58077,0.67515,0.90786,0.57544,0.6652
264,0.91139,0.58107,0.67669,0.90833,0.57489,0.66673
265,0.90833,0.57271,0.66663,0.90569,0.56905,0.65813
266,0.90727,0.57135,0.66315,0.90445,0.56674,0.65409
267,0.90766,0.57091,0.66446,0.906,0.56964,0.65914
268,0.91365,0.58619,0.68417,0.91484,0.59362,0.68821
269,0.90527,0.56642,0.65664,0.90213,0.56034,0.64658
270,0.91152,0.58209,0.67712,0.90833,0.57676,0.66672
271,0.91345,0.58656,0.6835,0.91174,0.58473,0.67794
272,0.91192,0.58192,0.67845,0.90786,0.57229,0.66521
273,0.90806,0.57504,0.66575,0.90538,0.56961,0.65711
274,0.91072,0.58019,0.67449,0.90957,0.57948,0.67079
275,0.91192,0.58075,0.67845,0.91128,0.58238,0.67641
276,0.9062,0.56741,0.65968,0.90476,0.56731,0.6551
277,0.90554,0.56705,0.65751,0.90383,0.56561,0.65208
278,0.90747,0.57101,0.6638,0.90616,0.57091,0.65964
279,0.91285,0.58539,0.68152,0.9136,0.59069,0.68409
280,0.90501,0.56628,0.65578,0.90135,0.55883,0.64408
281,0.91052,0.57907,0.67384,0.9105,0.5819,0.67385
282,0.91219,0.58281,0.67932,0.90895,0.5759,0.66876
283,0.90793,0.57189,0.66533,0.90693,0.57281,0.66216
284,0.91032,0.57991,0.67317,0.90848,0.57747,0.66723
285,0.91006,0.57687,0.67231,0.90926,0.57755,0.66978
286,0.90933,0.57613,0.6699,0.90786,0.57489,0.6652
287,0.91039,0.57722,0.67341,0.90817,0.57393,0.66622
288,0.91132,0.57996,0.67647,0.91097,0.58172,0.67539
289,0.90693,0.56983,0.66206,0.90569,0.57047,0.65812
290,0.90547,0.56796,0.65729,0.90321,0.5639,0.65008
291,0.90939,0.57688,0.67011,0.90786,0.57599,0.6652
292,0.90826,0.57329,0.66641,0.90631,0.57163,0.66014
293,0.90899,0.57357,0.66882,0.90631,0.56891,0.66015
294,0.90886,0.57626,0.66836,0.90538,0.56932,0.65711
295,0.91112,0.58212,0.6758,0.90833,0.57731,0.66672
296,0.91125,0.57675,0.67627,0.91112,0.58074,0.6759
297,0.90813,0.57535,0.66596,0.90554,0.57033,0.65762
298,0.90913,0.5748,0.66925,0.90678,0.57182,0.66166
299,0.91258,0.5845,0.68064,0.91081,0.58228,0.67487
300,0.907,0.57025,0.66228,0.90337,0.56316,0.65058
301,0.90653,0.57034,0.66075,0.90306,0.56318,0.64958
0,0.5683,0.01359,0.00386,0.55514,0.00907,0.00219
1,0.61477,0.09796,0.04101,0.60323,0.09485,0.03474
2,0.63292,0.10939,0.06046,0.6223,0.11068,0.05288
3,0.65426,0.12571,0.08665,0.64092,0.11802,0.07354
4,0.7793,0.30115,0.30931,0.77059,0.29299,0.29098
5,0.83813,0.40388,0.45613,0.83388,0.39934,0.44508
6,0.8489,0.42596,0.48592,0.84272,0.41565,0.46912
0,0.56519,0.00725,0.00197,0.55345,0.00551,0.00137
1,0.59118,0.05774,0.02002,0.57766,0.05268,0.01513
2,0.62901,0.10663,0.05605,0.61862,0.1081,0.04914
3,0.64657,0.12405,0.07668,0.63351,0.122,0.06487
4,0.66199,0.13632,0.09688,0.64794,0.12797,0.08191
